id;Name;X;Y;Population;Men;Woman
1;Осло;10.752778;59.911111;673469;319898;353571
2;Берген;5.323333;60.3925;277378;131755;145623
3;Тронхейм;10.393056;63.426944;190464;90470;99994
4;Ставангер;5.715556;58.960833;132102;62748;69354
5;Саннвика;10.526389;59.89;105928;50316;55612
6;Кристиансанн;7.9925;58.147778;80748;38355;42393
7;Фредрикстад;10.930833;59.217778;75583;35902;39681
8;Тромсё;18.953333;69.651944;59590;28305;31285
9;Драммен;10.205;59.737778;64776;30769;34007
10;Сарпсборг;11.202778;59.290556;51924;24664;27260
11;Шиен;9.610556;59.2075;51553;24488;27065
12;Будё;14.549167;67.305556;46495;22085;24410
13;Саннефьорд;10.221667;59.135833;42333;20108;22225
14;Олесунн;6.155;62.471111;42670;20268;22402
15;Ларвик;10.035;59.050833;41723;19818;21905
16;Арендал;8.766667;58.466667;41655;19786;21869
17;Тёнсберг;10.423611;59.298056;39021;18535;20486
18;Хёугесунн;5.27;59.416389;32956;15654;17302
19;Мосс;10.66;59.434444;30988;14719;16269
20;Хамар;11.078611;60.794444;28217;13403;14814
